file,bruce_abs_dist,bruce_rmse,bruce_mcd,specres_abs_dist,specres_rmse,specres_mcd
912.wav,4226.9117820786505,0.005286384,407.55323529575526,8160.451334012798,0.008602291,439.17873242087916
283.wav,7025.951366257781,0.011478486,487.03102502516873,5769.452966903173,0.009310006,363.61099781306905
423.wav,6896.350611034252,0.008893324,448.25956743295507,6961.527548569461,0.009128219,449.48545110787916
157.wav,6034.576363001152,0.007846549,344.1812102504735,6968.44251529815,0.0077704187,430.62356769774294
986.wav,6349.523685885724,0.009004297,383.960753236448,7739.558546174191,0.009673273,442.0273532450041
345.wav,6879.296786977582,0.008549015,385.2756891292528,8734.594132926664,0.010724231,409.1947737050702
821.wav,5127.335375958921,0.007821585,397.0700470771651,6836.56317424346,0.011455478,417.02919413214994
087.wav,7168.593025194548,0.011057779,401.15703692206523,6249.074851684367,0.007721717,427.56903999425026
782.wav,6383.122640498473,0.008746657,389.6985983090629,6095.986663101236,0.0072471676,399.70274018866456
058.wav,6746.750494210076,0.010443843,428.1341367979503,6001.807771294205,0.008308309,454.06744267594553
642.wav,7750.271947192652,0.011382023,456.80119738767087,6484.392241454594,0.0080128815,383.0236703864851
862.wav,7625.527264796055,0.010638899,520.4379096851882,5836.9353857948845,0.007177325,390.10472112557136
180.wav,7232.992014376891,0.011085123,377.79287384483075,6020.346892659232,0.0093477415,410.0583871218097
230.wav,4467.695414942155,0.0058963713,399.1306941500722,5923.688196899835,0.00874754,388.8184436255866
025.wav,4747.193316441695,0.0066791233,363.2119734685592,5994.2145891445425,0.007525114,428.3510879876372
581.wav,6410.80529387752,0.010178686,426.33817748994323,5102.930503256297,0.006524539,427.4492236846414
967.wav,7476.056084313918,0.009553784,447.65282476242936,7467.323339232607,0.0072178696,452.44795915368246
856.wav,6976.131518589375,0.009825065,361.1232930668183,7359.537355595149,0.00849732,454.1103969648049
704.wav,6547.527721014736,0.008530151,485.34663992612167,6860.45575451293,0.008663433,470.79898222144953
846.wav,6574.43403730034,0.009597606,364.17807727641616,7405.535901614492,0.008054243,414.42545672660003
067.wav,6078.411813002372,0.0085218,343.09025773969597,6703.361084498732,0.007960383,448.35197097371446
632.wav,6395.248530414766,0.009709621,454.82618925046023,6620.360338239193,0.008243842,431.9428429415886
584.wav,5331.766999962698,0.0067815785,340.86688527401435,6621.845098375673,0.0078012547,431.5594767434288
652.wav,7790.672063018292,0.011122044,465.98202005135704,5909.806404078613,0.006203021,408.6492097889483
063.wav,5125.13984084443,0.008124448,355.0623730838162,5876.17269610895,0.008288456,427.93145934311
071.wav,7247.605357932433,0.010020139,506.1943772016074,5850.135115030655,0.007001284,435.2178441767823
820.wav,6314.664290194089,0.008467908,494.742329737057,7304.424184176004,0.010898363,489.7454708366475
867.wav,7297.710846310499,0.010064693,470.52718018381677,6849.9720001678315,0.008024262,429.3343107043245
804.wav,4075.8374708128104,0.0053868364,371.6228572728161,6436.043247533784,0.008415366,432.10091286519156
730.wav,4813.094963627817,0.0067265467,363.51447352867507,7554.937649229083,0.010456782,427.66943221658363
350.wav,4420.630085183762,0.006041333,397.18143553355435,6977.83490379087,0.009881628,502.4732542145853
463.wav,5834.7381919915115,0.008646539,388.0112242879421,5645.420680580961,0.007398827,433.34031380597065
732.wav,5079.236332386694,0.0075727873,358.2756770595503,6754.3845443559185,0.008053662,380.64302827768813
529.wav,5980.507550500391,0.007727603,378.7982117046103,6160.40642132461,0.0068477583,396.24343530148036
479.wav,5100.2307359715005,0.006596714,369.7513170105795,7037.2085228666,0.0075096623,426.35450925592113
985.wav,6741.913106791238,0.009662061,424.51732492316216,8362.130993223476,0.009945731,495.34560267862537
501.wav,7211.553452829128,0.010010268,453.7934453892649,7394.786306476718,0.010095343,444.1887095915786
240.wav,5204.112922934357,0.0068688504,371.7751423691773,6126.790836784592,0.008490398,434.4999286730551
417.wav,4804.097003942164,0.0063751214,340.0798176211001,6640.976437587929,0.007653327,422.83935260528773
713.wav,5456.8104094924975,0.008144728,371.4727300449988,5529.306239528199,0.0070747966,386.5762002560715
645.wav,7017.663915855345,0.009885571,328.0127264213671,7061.723307173155,0.007821995,429.5478898364417
721.wav,4536.3701110468155,0.006437742,338.2525769341839,6100.245473582809,0.0074614235,364.4935427990568
860.wav,6950.160628352532,0.009457432,485.1097582794335,6373.707908922179,0.008872869,358.463716220592
596.wav,8024.443057669859,0.010404252,475.48190952858477,7817.831691447187,0.007802897,441.28468059769006
639.wav,6006.543844600439,0.0086157685,386.88826117938754,6516.760387650557,0.007644654,405.01130313809034
960.wav,6624.617954376003,0.009791478,410.2317947145087,7044.978001220179,0.008762428,425.60586908237394
376.wav,6474.841147580658,0.009368603,390.84721204620496,7692.263571023099,0.00839989,421.7132132818305
315.wav,4931.856804894453,0.0065545565,367.49360000938617,5980.694685335505,0.007989402,421.06463729479583
657.wav,7008.656191780611,0.009023419,342.3862797888783,7878.318968079921,0.0077187917,513.1408361593609
735.wav,5460.427906388031,0.007509527,343.7618872954827,8181.727308811683,0.009341716,522.2159819454415
748.wav,7372.112991661288,0.010871949,411.88419508617517,7210.060035369225,0.008547976,482.9672472316537
038.wav,5611.200017025411,0.008089777,480.84908563234904,6426.224976590469,0.009077822,445.9677290050073
198.wav,6046.514409797541,0.008354541,435.6488626237042,6414.9384267980495,0.007516971,425.461232619701
031.wav,5975.197476135371,0.007228117,441.5197552582831,5414.419688530024,0.0085221585,413.30203727986674
356.wav,6965.696504470511,0.0098627675,372.4623507572999,6738.862738860555,0.0076373573,412.42592878599464
560.wav,8232.424943598988,0.011402243,461.87716041040267,6199.459684213757,0.0069724564,441.13600877681654
379.wav,6998.559663916205,0.0100091705,384.13358056180846,7554.545222257637,0.008276594,419.7496392800936
792.wav,7290.33427182091,0.01010848,491.6935135122539,6625.417530293996,0.007335329,432.7945164263123
451.wav,4814.891022176063,0.006401015,348.37238473435775,6333.946180639473,0.007849768,465.45213201622073
532.wav,5772.230342603584,0.007896961,375.5315996563898,7564.931654990729,0.009168611,423.432192837563
582.wav,6259.5521008943115,0.009308712,424.25789902953807,5668.86547027595,0.0070970906,410.85110833794687
162.wav,6163.446154310108,0.008982986,446.6956083604256,5573.189713551501,0.0072304923,394.0675899265489
978.wav,6874.680897368658,0.009964854,466.91525876955956,7484.223622065182,0.007754224,378.73886104309827
831.wav,5356.543733070898,0.008139064,367.6562809681443,5412.23210316991,0.007704764,431.12804529086554
915.wav,5716.637807959813,0.0069519593,434.0237988795143,6474.511812909635,0.0074026156,428.20428730878234
683.wav,6991.533262268124,0.010582819,475.969300713855,7458.9279279680195,0.010974219,394.44237428991687
167.wav,6120.352706288949,0.00848526,361.19862147218697,8391.355781278708,0.009308493,524.3358826133866
892.wav,5076.850831851334,0.006981718,360.91707573077736,8637.511653130556,0.011319086,540.0165465016526
578.wav,7630.517181273642,0.010149299,399.11553216495895,6899.090491816352,0.007964315,460.953725632476
450.wav,5289.280226665294,0.0070783463,391.2297004206733,5868.57330703178,0.0075091855,502.0994169577887
418.wav,5875.984070791629,0.008762578,436.19031499868237,6236.554863988224,0.0081935935,465.8438882757793
903.wav,6545.228619840788,0.007074243,376.3009737513045,5547.897664794858,0.008246387,407.35623655206405
957.wav,7571.242488522782,0.0095115565,460.2234902312026,7429.730261912675,0.007111961,471.42111489509625
950.wav,6482.9190069393635,0.007063053,477.6971679685644,6591.276316827037,0.008017652,448.2933034885849
247.wav,5506.816457694633,0.007954622,360.3799826580035,6359.514101298882,0.0075509655,450.2912288210726
549.wav,7347.92472560427,0.0089537315,482.93600582880646,6484.765174207724,0.0073653497,425.9060851072549
389.wav,8188.226788085669,0.00988921,522.5169286425878,5621.899377759068,0.007243887,385.79953710475587
694.wav,6179.532217172764,0.007972456,373.223989288921,7871.278329428466,0.008018763,458.71104931475935
294.wav,5508.595048654214,0.006368695,379.47977535777534,6408.529186574963,0.00797257,442.41103682140897
410.wav,5000.412284943075,0.0060449517,404.44304771830934,6892.920271675039,0.009658406,360.1579012304843
750.wav,6904.3558418352895,0.009451329,400.03193909301154,6593.585769284675,0.0077602705,491.6386630230873
079.wav,7191.456482655467,0.010838223,349.49188510114436,7160.25659184571,0.008332431,481.675176852957
143.wav,6557.051744457575,0.0088187335,479.24226355678945,5921.74971793986,0.008865832,440.4798756294621
296.wav,5790.028620094752,0.008658093,331.10870591776427,6582.785468955339,0.0076717655,378.27939367561083
109.wav,5287.533670994008,0.0059970994,426.23143329262916,7198.845491956498,0.009663021,456.0684924781174
102.wav,3969.565083235401,0.005555129,375.9011116073801,5825.7593063976,0.00838068,440.03465259613984
914.wav,7005.595339346724,0.007614699,480.36784391947765,7848.889228470732,0.009433171,440.49508492379533
593.wav,5447.737046746164,0.0065180887,408.88707923669904,6522.578879260504,0.0067842575,476.86417037964793
361.wav,6653.189482949259,0.009952767,352.49432420159843,6946.98878520396,0.009801008,474.2581412095193
574.wav,6168.739886014089,0.008133306,341.2078775829819,7930.61100757149,0.0093278745,547.8108959569755
186.wav,7606.283378534356,0.011359466,393.2740280474068,8566.9906813018,0.012154278,336.50267695502373
156.wav,8079.106513330337,0.010538387,492.0093010358167,7260.590735102437,0.00854945,401.48008069757077
890.wav,4905.822500072094,0.006164791,455.7787057253167,7204.101041600253,0.009450382,478.23423303808374
248.wav,7920.0468857758315,0.011356591,542.9134355176323,6729.893133920557,0.008917408,433.27225028112946
837.wav,6160.930741399256,0.0088445,365.4823649441891,7095.5634103600105,0.009111739,445.8305915240347
321.wav,6193.111455215452,0.008980767,420.731943687021,6525.699709552388,0.009083435,368.1967977674555
160.wav,7106.716742784811,0.010585717,478.4849055525867,6424.004757633853,0.009055624,415.02338360507935
214.wav,4531.696044909511,0.005840257,373.69407471557633,5725.808377861618,0.0075470908,406.5112308528862
026.wav,5261.201799261658,0.008015104,334.8933169602272,6740.067991173738,0.008744809,461.6815719410911
572.wav,5999.688097005107,0.00782714,379.84508297606874,8252.498017239192,0.008971512,446.30660363265554
245.wav,7423.920950226033,0.009931638,445.0175574894542,8120.9096508881885,0.010017094,403.86322564651425
917.wav,5606.213763673425,0.007402024,368.5067945878382,8031.495904972571,0.008889703,464.5974433285563
304.wav,3817.3978153103303,0.004139636,384.5577601063925,5449.0076567794495,0.007978066,466.70292478882766
152.wav,4870.296824444611,0.006884801,357.5112840480511,6657.956482591955,0.008038503,402.98308457398605
046.wav,6333.19333577074,0.009124119,386.2725750520309,6122.9658545278035,0.007530867,470.63077904955327
473.wav,6772.260771685982,0.00866143,472.78010460400066,6328.854014563914,0.0076312604,405.95985103572116
146.wav,7830.536993319937,0.011363388,414.54290226129126,6237.317900343049,0.007938133,374.3115074793321
764.wav,7325.874355424984,0.010202377,387.65852502399565,7165.080883988179,0.007906228,447.9952503208111
583.wav,5863.718389708305,0.008867786,411.6880415078903,6085.836238901799,0.0079337405,439.16268024630887
720.wav,5048.333726166019,0.0077766683,384.6334479150738,6360.717635917901,0.0074963686,451.53050287927067
718.wav,5268.847894776274,0.0072256024,484.31010853792276,6472.563168682302,0.008173982,424.2061287039523
849.wav,7959.320103388528,0.011463912,434.91805587750054,8625.89900557825,0.009574529,522.1095933452613
920.wav,4652.468040382397,0.005801344,431.85702373378416,7034.340974449722,0.00873649,446.6096109544704
672.wav,8785.851352449305,0.010983224,523.7344405578182,6169.951686749176,0.0066102925,420.1385275639106
843.wav,7012.160651767973,0.009527741,429.5968146201502,6989.348960638289,0.009303596,444.714430446344
293.wav,4670.017614748532,0.0059927655,414.9869490868842,5683.6252282725245,0.0073870337,382.7625809074914
